Name,Description,Discovery Date,Detection Method,Mass,Planet Radius,Planet Type,Orbital Radius,Eccentricity,Orbital Period,File,Uuid,Link
24-sextantis-c,"""24 Sextantis c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.86 Jupiters, it takes 2.4 years to complete one orbit of its star, and is 2.08 AU from its star. Its discovery was announced in 2010.""",2010,Radial Velocity,0.86 Jupiters,1.24 x Jupiter (estimate),Gas Giant,2.08 AU,0.29,2.4 years,exoplanet_details/24-sextantis-c/,69bf8527-8e86-43d3-a21a-a870391220c9,https://exoplanets.nasa.gov//exoplanet-catalog/6995/24-sextantis-c/
2m0437-b,"""2M0437 b is a gas giant exoplanet that orbits an M-type star. Its mass is 4 Jupiters, it takes 3110.6 years to complete one orbit of its star, and is 118 AU from its star. Its discovery was announced in 2021.""",2021,Direct Imaging,4 Jupiters,1.16 x Jupiter (estimate),Gas Giant,118.0 AU,0.0,3110.6 years,exoplanet_details/2m0437-b/,8916d960-e61c-4335-994d-7791f3f7cff3,https://exoplanets.nasa.gov//exoplanet-catalog/8407/2m0437-b/
2mass-j01033563-5515561-ab-b,"""2MASS J01033563-5515561 AB b is a gas giant exoplanet that orbits an unknown-type star. Its mass is 13 Jupiters, it takes 1767.2 years to complete one orbit of its star, and is 84 AU from its star. Its discovery was announced in 2013.""",2013,Direct Imaging,13 Jupiters,1.1 x Jupiter (estimate),Gas Giant,84.0 AU,0.0,1767.2 years,exoplanet_details/2mass-j01033563-5515561-ab-b/,470b1489-adbf-48f5-bcf0-c2e5fe025666,https://exoplanets.nasa.gov//exoplanet-catalog/7671/2mass-j01033563-5515561-ab-b/
2mass-j01225093-2439505-b,"""2MASS J01225093-2439505 b is a gas giant exoplanet that orbits an M-type star. Its mass is 24.5 Jupiters, it takes 593.2 years to complete one orbit of its star, and is 52 AU from its star. Its discovery was announced in 2013.""",2013,Direct Imaging,24.5 Jupiters,1.0 x Jupiter,Gas Giant,52.0 AU,0.0,593.2 years,exoplanet_details/2mass-j01225093-2439505-b/,888a1cbb-4e42-4f5b-97aa-ef48966a6b15,https://exoplanets.nasa.gov//exoplanet-catalog/7062/2mass-j01225093-2439505-b/
2mass-j02192210-3925225-b,"""2MASS J02192210-3925225 b is a gas giant exoplanet that orbits an M-type star. Its mass is 13.9 Jupiters, it takes 5878.1 years to complete one orbit of its star, and is 156 AU from its star. Its discovery was announced in 2015.""",2015,Direct Imaging,13.9 Jupiters,1.44 x Jupiter,Gas Giant,156.0 AU,0.0,5878.1 years,exoplanet_details/2mass-j02192210-3925225-b/,8403988b-8832-437a-98d6-b23e545df56d,https://exoplanets.nasa.gov//exoplanet-catalog/7063/2mass-j02192210-3925225-b/
2mass-j044144892301513-b,"""2MASS J04414489+2301513 b is a gas giant exoplanet that orbits an M-type star. Its mass is 7.5 Jupiters, it takes 411 years to complete one orbit of its star, and is 15 AU from its star. Its discovery was announced in 2010.""",2010,Direct Imaging,7.5 Jupiters,1.13 x Jupiter (estimate),Gas Giant,15.0 AU,0.0,411 years,exoplanet_details/2mass-j044144892301513-b/,4531f637-45b2-4293-bf19-855d5eb5333d,https://exoplanets.nasa.gov//exoplanet-catalog/7064/2mass-j044144892301513-b/
2mass-j12073346-3932539-b,"""2MASS J12073346-3932539 b is a gas giant exoplanet that orbits an M-type star. Its mass is 5 Jupiters, it takes 2885.9 years to complete one orbit of its star, and is 55 AU from its star. Its discovery was announced in 2004.""",2004,Direct Imaging,5 Jupiters,1.15 x Jupiter (estimate),Gas Giant,55.0 AU,0.0,2885.9 years,exoplanet_details/2mass-j12073346-3932539-b/,4e88bde8-e10e-4612-bff1-316490d32a60,https://exoplanets.nasa.gov//exoplanet-catalog/7065/2mass-j12073346-3932539-b/
2mass-j193832604603591-b,"""2MASS J19383260+4603591 b is a gas giant exoplanet that orbits a B-type star. Its mass is 1.9 Jupiters, it takes 416 days to complete one orbit of its star, and is 0.92 AU from its star. Its discovery was announced in 2015.""",2015,Eclipse Timing Variations,1.9 Jupiters,1.2 x Jupiter (estimate),Gas Giant,0.92 AU,0.0,416 days,exoplanet_details/2mass-j193832604603591-b/,e71766be-eacc-4ad5-ba35-f3716242d054,https://exoplanets.nasa.gov//exoplanet-catalog/7108/2mass-j193832604603591-b/
2mass-j214029311625183-a-b,2MASS J21402931+1625183 A b is a gas giant exoplanet that orbits an M-type star. Its mass is 20.95 Jupiters and it takes 20.1 years to complete one orbit of its star. Its discovery was announced in 2009.,2009,Direct Imaging,20.95 Jupiters,0.92 x Jupiter,Gas Giant,Unknown,0.26,20.1 years,exoplanet_details/2mass-j214029311625183-a-b/,c1107a59-f720-4f0c-afc5-7e1b8f3ce9ff,https://exoplanets.nasa.gov//exoplanet-catalog/7066/2mass-j214029311625183-a-b/
2mass-j223624524751425-b,"""2MASS J22362452+4751425 b is a gas giant exoplanet that orbits a K-type star. Its mass is 12.5 Jupiters, it takes 4505.7 years to complete one orbit of its star, and is 230 AU from its star. Its discovery was announced in 2016.""",2016,Direct Imaging,12.5 Jupiters,1.1 x Jupiter (estimate),Gas Giant,230.0 AU,0.0,4505.7 years,exoplanet_details/2mass-j223624524751425-b/,4b9e012e-d573-4130-9fb3-7783a32a1cbf,https://exoplanets.nasa.gov//exoplanet-catalog/7239/2mass-j223624524751425-b/
30-arietis-b-b,"""30 Arietis B b is a gas giant exoplanet that orbits an F-type star. Its mass is 13.82 Jupiters, it takes 335.1 days to complete one orbit of its star, and is 0.99 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,13.82 Jupiters,1.1 x Jupiter (estimate),Gas Giant,0.99 AU,0.29,335.1 days,exoplanet_details/30-arietis-b-b/,ff06eae6-ce6b-4f14-bee7-7030d3bd2e41,https://exoplanets.nasa.gov//exoplanet-catalog/6996/30-arietis-b-b/
4-ursae-majoris-b,"""4 Ursae Majoris b is a gas giant exoplanet that orbits a K-type star. Its mass is 7.1 Jupiters, it takes 269.3 days to complete one orbit of its star, and is 0.87 AU from its star. Its discovery was announced in 2006.""",2006,Radial Velocity,7.1 Jupiters,1.13 x Jupiter (estimate),Gas Giant,0.87 AU,0.43,269.3 days,exoplanet_details/4-ursae-majoris-b/,9c56b384-a4d6-4963-ac82-28a665ff4b84,https://exoplanets.nasa.gov//exoplanet-catalog/6985/4-ursae-majoris-b/
42-draconis-b,"""42 Draconis b is a gas giant exoplanet that orbits a K-type star. Its mass is 3.88 Jupiters, it takes 479.1 days to complete one orbit of its star, and is 1.19 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,3.88 Jupiters,1.16 x Jupiter (estimate),Gas Giant,1.19 AU,0.38,479.1 days,exoplanet_details/42-draconis-b/,4837faea-f242-423e-83eb-fdd137174fa1,https://exoplanets.nasa.gov//exoplanet-catalog/6997/42-draconis-b/
47-ursae-majoris-b,"""47 Ursae Majoris b is a gas giant exoplanet that orbits a G-type star. Its mass is 2.53 Jupiters, it takes 3 years to complete one orbit of its star, and is 2.1 AU from its star. Its discovery was announced in 1996.""",1996,Radial Velocity,2.53 Jupiters,1.18 x Jupiter (estimate),Gas Giant,2.1 AU,0.03,3 years,exoplanet_details/47-ursae-majoris-b/,9373a163-935b-4c13-a1ef-0a4cdefb22c5,https://exoplanets.nasa.gov//exoplanet-catalog/6998/47-ursae-majoris-b/
47-ursae-majoris-c,"""47 Ursae Majoris c is a gas giant exoplanet that orbits a G-type star. Its mass is 0.54 Jupiters, it takes 6.6 years to complete one orbit of its star, and is 3.6 AU from its star. Its discovery was announced in 2001.""",2001,Radial Velocity,0.54 Jupiters,1.27 x Jupiter (estimate),Gas Giant,3.6 AU,0.1,6.6 years,exoplanet_details/47-ursae-majoris-c/,bde57f7f-9a45-4614-a8eb-c9703865c3ff,https://exoplanets.nasa.gov//exoplanet-catalog/6999/47-ursae-majoris-c/
47-ursae-majoris-d,"""47 Ursae Majoris d is a gas giant exoplanet that orbits a G-type star. Its mass is 1.64 Jupiters, it takes 38.4 years to complete one orbit of its star, and is 11.6 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,1.64 Jupiters,1.2 x Jupiter (estimate),Gas Giant,11.6 AU,0.16,38.4 years,exoplanet_details/47-ursae-majoris-d/,781bc287-2a8a-4f45-8445-3fa31aa98d67,https://exoplanets.nasa.gov//exoplanet-catalog/7000/47-ursae-majoris-d/
51-eridani-b,"""51 Eridani b is a gas giant exoplanet that orbits an F-type star. Its mass is 2 Jupiters, it takes 32 years to complete one orbit of its star, and is 13.2 AU from its star. Its discovery was announced in 2015.""",2015,Direct Imaging,2 Jupiters,1.19 x Jupiter (estimate),Gas Giant,13.2 AU,0.45,32 years,exoplanet_details/51-eridani-b/,34cd4ff1-6fb7-4882-9164-901e74226175,https://exoplanets.nasa.gov//exoplanet-catalog/7109/51-eridani-b/
51-pegasi-b,"""51 Pegasi b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.46 Jupiters, it takes 4.2 days to complete one orbit of its star, and is 0.0527 AU from its star. Its discovery was announced in 1995.""",1995,Radial Velocity,0.46 Jupiters,1.27 x Jupiter (estimate),Gas Giant,0.0527 AU,0.01,4.2 days,exoplanet_details/51-pegasi-b/,83b41b02-b047-41ed-915e-458b91515ef7,https://exoplanets.nasa.gov//exoplanet-catalog/7001/51-pegasi-b/
55-cancri-b,"""55 Cancri b is a gas giant exoplanet that orbits a K-type star. Its mass is 0.8306 Jupiters, it takes 14.7 days to complete one orbit of its star, and is 0.1134 AU from its star. Its discovery was announced in 1996.""",1996,Radial Velocity,0.8306 Jupiters,1.24 x Jupiter (estimate),Gas Giant,0.1134 AU,0.0,14.7 days,exoplanet_details/55-cancri-b/,9264923c-d634-4311-83e3-8ceaa9ba2a4b,https://exoplanets.nasa.gov//exoplanet-catalog/7002/55-cancri-b/
55-cancri-c,"""55 Cancri c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.1714 Jupiters, it takes 44.4 days to complete one orbit of its star, and is 0.2373 AU from its star. Its discovery was announced in 2004.""",2004,Radial Velocity,0.1714 Jupiters,0.76 x Jupiter (estimate),Gas Giant,0.2373 AU,0.03,44.4 days,exoplanet_details/55-cancri-c/,6f517ca6-9cbf-4774-9e6e-172647718dbb,https://exoplanets.nasa.gov//exoplanet-catalog/7003/55-cancri-c/
55-cancri-d,"""55 Cancri d is a gas giant exoplanet that orbits a K-type star. Its mass is 3.878 Jupiters, it takes 15.3 years to complete one orbit of its star, and is 5.957 AU from its star. Its discovery was announced in 2002.""",2002,Radial Velocity,3.878 Jupiters,1.16 x Jupiter (estimate),Gas Giant,5.957 AU,0.13,15.3 years,exoplanet_details/55-cancri-d/,3d4833de-ca24-4488-9e29-081f1817830c,https://exoplanets.nasa.gov//exoplanet-catalog/7004/55-cancri-d/
55-cancri-e,,2004,Radial Velocity,7.99 Earths,1.875 x Earth,Super Earth,0.01544 AU,0.05,0.7 days,exoplanet_details/55-cancri-e/,1e4555de-572b-4015-b1f3-f5f20722914d,https://exoplanets.nasa.gov//exoplanet-catalog/7005/55-cancri-e/
55-cancri-f,"""55 Cancri f is a gas giant exoplanet that orbits a K-type star. Its mass is 0.141 Jupiters, it takes 259.9 days to complete one orbit of its star, and is 0.7708 AU from its star. Its discovery was announced in 2007.""",2007,Radial Velocity,0.141 Jupiters,0.677 x Jupiter (estimate),Gas Giant,0.7708 AU,0.08,259.9 days,exoplanet_details/55-cancri-f/,04a01551-38c2-4302-b8ce-59bf5c501044,https://exoplanets.nasa.gov//exoplanet-catalog/7006/55-cancri-f/
6-lyncis-b,"""6 Lyncis b is a gas giant exoplanet that orbits a K-type star. Its mass is 2.01 Jupiters, it takes 2.6 years to complete one orbit of its star, and is 2.11 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,2.01 Jupiters,1.19 x Jupiter (estimate),Gas Giant,2.11 AU,0.07,2.6 years,exoplanet_details/6-lyncis-b/,ba4e119d-2376-41c9-89af-412679456c2e,https://exoplanets.nasa.gov//exoplanet-catalog/6986/6-lyncis-b/
61-virginis-b,"""61 Virginis b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.1 Earths, it takes 4.2 days to complete one orbit of its star, and is 0.050201 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,5.1 Earths,2.11 x Earth (estimate),Neptune-like,0.050201 AU,0.12,4.2 days,exoplanet_details/61-virginis-b/,eca6cd9f-a801-4ea7-a655-720e21401e52,https://exoplanets.nasa.gov//exoplanet-catalog/7007/61-virginis-b/
61-virginis-c,"""61 Virginis c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 18.2 Earths, it takes 38 days to complete one orbit of its star, and is 0.2175 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,18.2 Earths,0.398 x Jupiter (estimate),Neptune-like,0.2175 AU,0.14,38 days,exoplanet_details/61-virginis-c/,09b86279-03cc-4732-8f73-23a43307eee9,https://exoplanets.nasa.gov//exoplanet-catalog/7008/61-virginis-c/
61-virginis-d,"""61 Virginis d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 22.9 Earths, it takes 123 days to complete one orbit of its star, and is 0.476 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,22.9 Earths,0.456 x Jupiter (estimate),Neptune-like,0.476 AU,0.35,123 days,exoplanet_details/61-virginis-d/,5fcceb35-e9bd-4f19-87e6-935ad3a257ca,https://exoplanets.nasa.gov//exoplanet-catalog/7009/61-virginis-d/
7-canis-majoris-b,"""7 Canis Majoris b is a gas giant exoplanet that orbits a K-type star. Its mass is 1.85 Jupiters, it takes 2 years to complete one orbit of its star, and is 1.758 AU from its star. Its discovery was announced in 2011.""",2011,Radial Velocity,1.85 Jupiters,1.2 x Jupiter (estimate),Gas Giant,1.758 AU,0.06,2 years,exoplanet_details/7-canis-majoris-b/,a41b6098-b290-4055-9596-cf87fe734cc3,https://exoplanets.nasa.gov//exoplanet-catalog/6987/7-canis-majoris-b/
7-canis-majoris-c,"""7 Canis Majoris c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.87 Jupiters, it takes 2.7 years to complete one orbit of its star, and is 2.153 AU from its star. Its discovery was announced in 2019.""",2019,Radial Velocity,0.87 Jupiters,1.24 x Jupiter (estimate),Gas Giant,2.153 AU,0.08,2.7 years,exoplanet_details/7-canis-majoris-c/,f80cbb6c-c09d-45ea-a0ac-feb0647b6b63,https://exoplanets.nasa.gov//exoplanet-catalog/7505/7-canis-majoris-c/
70-virginis-b,"""70 Virginis b is a gas giant exoplanet that orbits a G-type star. Its mass is 7.49 Jupiters, it takes 116.7 days to complete one orbit of its star, and is 0.481 AU from its star. Its discovery was announced in 1996.""",1996,Radial Velocity,7.49 Jupiters,1.13 x Jupiter (estimate),Gas Giant,0.481 AU,0.4,116.7 days,exoplanet_details/70-virginis-b/,b8a6de0c-aada-4f13-b4f5-eb32cd7f811b,https://exoplanets.nasa.gov//exoplanet-catalog/7010/70-virginis-b/
75-ceti-b,"""75 Ceti b is a gas giant exoplanet that orbits a K-type star. Its mass is 3 Jupiters, it takes 1.9 years to complete one orbit of its star, and is 2.1 AU from its star. Its discovery was announced in 2012.""",2012,Radial Velocity,3 Jupiters,1.17 x Jupiter (estimate),Gas Giant,2.1 AU,0.12,1.9 years,exoplanet_details/75-ceti-b/,3c072d0d-5781-4137-8ea2-531cf64f4783,https://exoplanets.nasa.gov//exoplanet-catalog/7011/75-ceti-b/
8-ursae-minoris-b,"""8 Ursae Minoris b is a gas giant exoplanet that orbits a K-type star. Its mass is 1.31 Jupiters, it takes 93.4 days to complete one orbit of its star, and is 0.49 AU from its star. Its discovery was announced in 2015.""",2015,Radial Velocity,1.31 Jupiters,1.22 x Jupiter (estimate),Gas Giant,0.49 AU,0.06,93.4 days,exoplanet_details/8-ursae-minoris-b/,020faba7-6b00-4e13-a1fc-a4eeaf4dc005,https://exoplanets.nasa.gov//exoplanet-catalog/7100/8-ursae-minoris-b/
81-ceti-b,"""81 Ceti b is a gas giant exoplanet that orbits a K-type star. Its mass is 5.3 Jupiters, it takes 2.6 years to complete one orbit of its star, and is 2.5 AU from its star. Its discovery was announced in 2008.""",2008,Radial Velocity,5.3 Jupiters,1.14 x Jupiter (estimate),Gas Giant,2.5 AU,0.21,2.6 years,exoplanet_details/81-ceti-b/,0d3448dc-46f9-489b-8e9d-c4d569e7249e,https://exoplanets.nasa.gov//exoplanet-catalog/7012/81-ceti-b/
91-aquarii-b,"""91 Aquarii b is a gas giant exoplanet that orbits a K-type star. Its mass is 3.2 Jupiters, it takes 181.4 days to complete one orbit of its star, and is 0.7 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,3.2 Jupiters,1.17 x Jupiter (estimate),Gas Giant,0.7 AU,0.03,181.4 days,exoplanet_details/91-aquarii-b/,97d6e5fe-e3ee-48e8-bada-ce3aeb15a321,https://exoplanets.nasa.gov//exoplanet-catalog/7013/91-aquarii-b/
ab-pictoris-b,"""AB Pictoris b is a gas giant exoplanet that orbits a K-type star. Its mass is 13.5 Jupiters, it takes 4421.7 years to complete one orbit of its star, and is 260 AU from its star. Its discovery was announced in 2005.""",2005,Direct Imaging,13.5 Jupiters,1.1 x Jupiter (estimate),Gas Giant,260.0 AU,0.0,4421.7 years,exoplanet_details/ab-pictoris-b/,f9c5ccbd-c021-4582-aaf1-89d02d66b300,https://exoplanets.nasa.gov//exoplanet-catalog/7014/ab-pictoris-b/
alpha-arietis-b,"""Alpha Arietis b is a gas giant exoplanet that orbits a K-type star. Its mass is 1.8 Jupiters, it takes 380.8 days to complete one orbit of its star, and is 1.2 AU from its star. Its discovery was announced in 2010.""",2010,Radial Velocity,1.8 Jupiters,1.2 x Jupiter (estimate),Gas Giant,1.2 AU,0.25,380.8 days,exoplanet_details/alpha-arietis-b/,e6ffda65-c3ec-4d62-bdf9-41e22772b9a6,https://exoplanets.nasa.gov//exoplanet-catalog/7038/alpha-arietis-b/
alpha-tauri-b,"""Alpha Tauri b is a gas giant exoplanet that orbits a K-type star. Its mass is 6.47 Jupiters, it takes 1.7 years to complete one orbit of its star, and is 1.46 AU from its star. Its discovery was announced in 2015.""",2015,Radial Velocity,6.47 Jupiters,1.13 x Jupiter (estimate),Gas Giant,1.46 AU,0.1,1.7 years,exoplanet_details/alpha-tauri-b/,bc41969f-5272-4a91-8160-4f1efa018ae1,https://exoplanets.nasa.gov//exoplanet-catalog/7107/alpha-tauri-b/
au-microscopii-b,,2020,Transit,17 Earths,0.363 x Jupiter,Neptune-like,0.0645 AU,0.0,8.5 days,exoplanet_details/au-microscopii-b/,dc931cc3-afae-4c0f-bd6a-ec77d2cfa418,https://exoplanets.nasa.gov//exoplanet-catalog/7635/au-microscopii-b/
au-microscopii-c,"""AU Microscopii c is a Neptune-like exoplanet that orbits an M-type star. Its mass is 13.6 Earths, it takes 18.9 days to complete one orbit of its star, and is 0.1101 AU from its star. Its discovery was announced in 2021.""",2021,Transit,13.6 Earths,0.289 x Jupiter,Neptune-like,0.1101 AU,0.0,18.9 days,exoplanet_details/au-microscopii-c/,f43b2279-01ca-45dc-9c75-057b7a44b9fb,https://exoplanets.nasa.gov//exoplanet-catalog/7939/au-microscopii-c/
b-centauri-ab-b,"""b Centauri AB b is a gas giant exoplanet that orbits an unknown-type star. Its mass is 10.9 Jupiters, it takes 4904.1 years to complete one orbit of its star, and is 556 AU from its star. Its discovery was announced in 2021.""",2021,Direct Imaging,10.9 Jupiters,1.11 x Jupiter (estimate),Gas Giant,556.0 AU,< 0.4,4904.1 years,exoplanet_details/b-centauri-ab-b/,3b4a7c7f-b34d-40c3-8d84-9535eeb4caff,https://exoplanets.nasa.gov//exoplanet-catalog/8381/b-centauri-ab-b/
bd-00-4475-b,"""BD-00 4475 b is a gas giant exoplanet that orbits a K-type star. Its mass is 25.05 Jupiters, it takes 2 years to complete one orbit of its star, and is 1.48 AU from its star. Its discovery was announced in 2021.""",2021,Radial Velocity,25.05 Jupiters,1.07 x Jupiter (estimate),Gas Giant,1.48 AU,0.39,2 years,exoplanet_details/bd-00-4475-b/,26ca2edf-6cc9-4d61-b807-1fc171f21a4b,https://exoplanets.nasa.gov//exoplanet-catalog/7871/bd-00-4475-b/
bd-06-1339-b,"""BD-06 1339 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 8.5 Earths, it takes 3.9 days to complete one orbit of its star, and is 0.0428 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,8.5 Earths,0.254 x Jupiter (estimate),Neptune-like,0.0428 AU,0.0,3.9 days,exoplanet_details/bd-06-1339-b/,0236b812-0bd5-43e0-9b9e-2743214648e0,https://exoplanets.nasa.gov//exoplanet-catalog/7073/bd-06-1339-b/
bd-06-1339-c,"""BD-06 1339 c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.17 Jupiters, it takes 125.9 days to complete one orbit of its star, and is 0.435 AU from its star. Its discovery was announced in 2013.""",2013,Radial Velocity,0.17 Jupiters,0.747 x Jupiter (estimate),Gas Giant,0.435 AU,0.31,125.9 days,exoplanet_details/bd-06-1339-c/,9c0e6adc-aa1b-4061-af33-726ae86ebee5,https://exoplanets.nasa.gov//exoplanet-catalog/7074/bd-06-1339-c/
bd-08-2823-b,"""BD-08 2823 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 12.7132 Earths, it takes 5.6 days to complete one orbit of its star, and is 0.06 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,12.7132 Earths,0.322 x Jupiter (estimate),Neptune-like,0.06 AU,0.15,5.6 days,exoplanet_details/bd-08-2823-b/,21b93114-2b98-4bed-ad14-7c9959e8d33a,https://exoplanets.nasa.gov//exoplanet-catalog/7071/bd-08-2823-b/
bd-08-2823-c,"""BD-08 2823 c is a gas giant exoplanet that orbits a K-type star. Its mass is 0.33 Jupiters, it takes 237.6 days to complete one orbit of its star, and is 0.68 AU from its star. Its discovery was announced in 2009.""",2009,Radial Velocity,0.33 Jupiters,1.11 x Jupiter (estimate),Gas Giant,0.68 AU,0.19,237.6 days,exoplanet_details/bd-08-2823-c/,1b0d341b-110d-4d23-bb66-13f151c17928,https://exoplanets.nasa.gov//exoplanet-catalog/7072/bd-08-2823-c/
bd-10-3166-b,"""BD-10 3166 b is a gas giant exoplanet that orbits a G-type star. Its mass is 0.59 Jupiters, it takes 3.5 days to complete one orbit of its star, and is 0.04 AU from its star. Its discovery was announced in 2000.""",2000,Radial Velocity,0.59 Jupiters,1.26 x Jupiter (estimate),Gas Giant,0.04 AU,0.02,3.5 days,exoplanet_details/bd-10-3166-b/,dd5d4cb3-b150-48cf-95e1-c4e50e77a8f3,https://exoplanets.nasa.gov//exoplanet-catalog/7070/bd-10-3166-b/
